iter	Logloss
0	0.6685202201
1	0.6385733751
2	0.6167870145
3	0.5974478137
4	0.578692929
5	0.5595797558
6	0.5418074766
7	0.526704133
8	0.5146628323
9	0.4994023376
10	0.4385859852
11	0.4270632194
112	0.3771510825113	0.3674581314	0.3967968319
15	0.3867599776
16	0.3799375018
17	0.372797554
18	0.366487255
19	0.3601534995
20	0.3537914507
21	0.3491268927
22	0.3437851018
23	0.3391521698
24	0.3345427036
25	0.3310276999
26	0.3274564574
27	0.3241260206
28	0.3210197016
29	0.3185019406
30	0.3164813478
331	0.376497136332	0.3121035019
33	0.3102410285
34	0.3081950696
35	0.3059739433
36	0.3039971016
37	0.363623707938	0.3012161304
39	0.2995797939
40	0.2979530379
41	0.2965338696
42	0.2951871827
43	0.2943652079
44	0.2929493722
45	0.2920359848
46	0.2910300138
47	0.2900819931
48	0.2894049783
49	0.2886113672
50	0.2879371035
51	0.2874135251
52	0.2869309606
53	0.2859534025
54	0.285117840655	0.3426160302
56	0.3419761299
57	0.3412931285
58	0.3405039007
59	0.3396736023
60	0.3388934282
61	0.3381096417
62	0.3374822259663	0.3366090091664	0.3358479215665	0.3352784006666	0.3346531232667	0.3342354666668	0.3335532162669	0.3330770838770	0.3324817605771	0.3321050926772	0.3316931649773	0.3311661835774	0.3306458907575	0.3300979387676	0.3296923527777	0.3291102317878	0.3288622647979	0.3284853638080	0.3280514228181	0.3277028468282	0.3272299538383	0.3267300768484	84	0.2190548585	85	0.2186818686	86	0.21823687	0.87	0.2179528888	88	0.2175898989	0.3245717509090	0.3242513069191	0.3239449869292	0.3236826329393	0.3234276359494	94	0.215335195	095	0.214929696	096	0.214599797	097	0.214359898	098	0.214069999	099	0.2137810100100	0.21347010101101	0.2132631102	102	0.2130210103	103	0.2128910104	104	0.2125510105105	0.21231710106106	0.21190910107107	0.21152510108108	0.21122210109109	0.210944110	0110	0.210694111	0111	0.21043411112112	0.21027113113113	0.20994114114114	0.20955115115115	0.20930116116	0.31655730117117	0.3163073011118	0.3160800151119	0119	0.2084120	0.3120	0.2082121	0.3121	0.2080122	0.3122	0.2077123	0.3123	0.2075124	0.31471082531125	0.3125	0.206126	0.2625004092
127	0.2127	0.2064128	0.2128	0.2061129	0.2129	0.2051130	0.2130	0.2013131	0.131	0.20513132	0.132	0.20133133	0.133	0.20134134	0.134	0.20135	0.312135	0.20136	0.311136	0.20137	0.311137	0.20138138	0.138	0.2139	0.3114139	0.2140140	0.2140	0.2141141	0.2141	0.2142142	0.2142	0.2143143	0.2143	0.2144144	0.2144	0.2145145	0.2145	0.2146146	0.2146	0.2147	0.3099147	0.2148	0.3097148	0.2149	0.3096149	0.2150	0.3093150	0.2151	0.309151	0.2152	0.3089152	0.2153	0.3088153	0.2154154	0.2154	0.2155155	0.2155	0.2005156	0.2156	0.2003157	0.2157	0.2001158	0.2158	0.2000159	0.2159	0.1998160	0.2160	0.161	161	0.2161	0.162	162	0.2162	0.163	163	0.2163	0.164	164	0.2164	0.165	165	0.2165	0.166	166	0.2166	0.1986167	0.2167	0.1985168	0.2168	0.1983169	0.2169	0.198135722
170	0.1979875334
171	0.197825977
172	0.1976792862
173	0.1975462427
174	0.1974113221
175	0.1972386815
