iter	Passed	Remaining
0	96	96606
1	172	86073
2	251	83574
3	328	81856
4	404	80402
5	477	79090
6	543	77102
7	607	75311
8	680	74894
9	753	74625
1010	846	76141111	922	759812	996	75669
13	1069	75357
1414	1141	74951515	1216	74791616	1295	74921717	1374	74981818	1451	74961919	1527	74822020	1607	74952121	1682	74782222	1759	74742323	1832	74522424	1908	74422525	1980	74172626	2049	73862727	2124	73732828	2199	73642929	2275	73583030	2346	733331	2403	72691
3232	2491	73013333	2570	73023434	2644	72923535	2723	72933636	2799	728637	2862	72456
3838	2956	72843939	3030	72734040	3103	72594141	3175	72444242	3248	72294343	3324	72234444	3402	72214545	3500	72594646	3603	73054747	3732	74024848	3860	74924949	3995	75925050	4079	75905151	4170	76025252	4292	76705353	4418	77395454	4541	780355	4651	78403
56	4811	79593
57	4936	80176
58	5076	80968
59	5200	81469
60	5349	82342
61	5500	83219
62	5624	83655
63	5761	84257
64	5916	85112
65	6047	85585
66	6200	86342
67	6346	86980
68	6495	87646
69	6628	88068
70	6783	88762
71	6940	89456
72	7082	89942
73	7221	90362
74	7360	90785
75	7515	91367
76	7644	91630
77	7771	91858
78	7897	92069
79	8031	92361
80	8174	92749
81	8311	93043
82	8455	93416
83	8592	93695
84	8756	94260
85	8908	94682
86	9035	94819
87	9185	95199
88	9307	95272
89	9430	95355
90	9596	95859
91	9749	96219
92	9904	96596
93	10049	96864
94	10208	97247
95	10354	97506
96	10490	97660
97	10632	97862
98	10767	97995
99	10900	98106
100	11053	98388
101	11186	98484
102	11321	98595
103	11440	98560
104	11568	98605
105	11718	98831
106	11856	98954
107	12011	99210
108	12146	99292
109	12285	99397
110	12421	99484
111	12558	99570
112	12687	99594
113	12837	99771
114	12968	99804
115	13123	100012116	13251	100006
117	13385	1000481118	13534	10020411119	13688	1003811120	13834	1004911121	13981	1006111122	14115	1006411123	14254	100701124	14370	10059011125	14527	10076126	14686	100952
12127	14829	1010212128	14974	1011012129	15128	1012413130	15277	1013413131	15439	1015113132	15566	1011313133	15693	1013513134	15841	1136	11135	15981	137	111136	16102138	1611137	1621139	16213138	163140	163411139	16141	1645314140	1142	16567	14141	143	16703	914142144	16846	991414145	16997	994141146	17138	994514147	17284	99504
148	17426	99528
149	17575	99592
150	17714	99597
151	17856	99621
152	18000	99648
153	18113	99508
154	18242	99449
155	18372	99402
156	18522	99453
157	18665	99469
158	18808	99484
159	18955	99515
160	19093	99497
161	19232	99484
162	19369	99464
163	19485	99328
164	19621	99295
165	19789	99425
166	19960	99564
167	20115	99621
168	20280	99723
169	20446	99829
170	20623	99981
171	20773	100004
172	20909	99956
173	21078	100063
174	21254	100197
175	21409	100236
176	21565	100273
177	21716	100286
178	21874	100330
179	22032	100372
180	22175	100342
181	22302	100238
182	22435	100164
183	22581	100143
184	22710	100049
185	22854	100017
186	23001	100001
187	23139	99942
188	23259	99808
189	23391	99721
190	23526	99647
191	23654	99545
192	23794	99493
193	23966	99572
194	24125	99595
195	24251	99479
196	24404	99476
197	24570	99521
198	24711	99468
199	24856	99427
200	25043	99549
201	25217	99623
202	25396	99711
203	25548	99690
204	25721	99750
205	25883	99765
206	26046	99782
207	26205	99783
208	26363	99777
209	26517	99754
210	26662	99698
211	26819	99687
212	26983	99701
213	27129	99645
214	27262	99539
215	27396	99439
216	27536	99359
217	27695	99347
218	27847	99309
219	27996	99260
220	28156	99249
221	28323	99258
222	28483	99246
223	28620	99151
224	28765	99082
225	28939	99112
226	29088	99054
227	29228	98968
228	29376	98905
229	29503	98771
230	29634	98654
231	29787	98607
232	29937	98549
233	30103	98543
234	30267	98531
235	30421	98483
236	30581	98453
237	30730	98388
238	30879	98324
239	31028	98257
240	31185	98213
241	31348	98189
242	31490	98101
243	31651	98068
244	31811	98031
245	31967	97981
246	32105	97874
247	32264	97834
248	32415	97767
249	32545	97635
250	32701	97582
251	32855	97524
252	33007	97456
253	33143	97342
254	33301	97293
255	33450	97215
256	33605	97155
257	33755	97079
258	33917	97036
259	34105	97068
260	34274	97045
261	34435	96997
262	34597	96952
263	34756	96895
264	34916	96843
265	35087	96820
266	35244	96757
267	35414	96730
268	35562	96639
269	35713	96558
270	35861	96468
271	36019	96405
272	36162	96300
273	36316	96224
274	36460	96122
275	36592	95987
276	36728	95864
277	36858	95725
278	36994	95601
279	37147	95521
280	37285	95403
281	37430	95301
282	37580	95212
283	37743	95155
284	37876	95022
285	38026	94932
286	38162	94807
287	38316	94727
288	38470	94645
289	38631	94579
290	38776	94475
291	38904	94330
292	39057	94243
293	39204	94144
294	39356	94054
295	39510	93970
296	39656	93867
297	39799	93754
298	39956	93677
299	40116	93605
300	40274	93528
301	40423	93429
302	40565	93314
303	40702	93187
304	40860	93109
305	41021	93035
306	41197	92995
307	41348	92899
308	41489	92781
309	41649	92704
310	41774	92548
311	41904	92403
312	42054	92305
313	42194	92183
314	42345	92084
315	42491	91975
316	42634	91858
317	42794	91778
318	42938	91665
319	43094	91576
320	43231	91445
321	43371	91322
322	43530	91238
323	43688	91151
324	43827	91025
325	43977	90922
326	44122	90809
327	44246	90652
328	44386	90527
329	44530	90410
330	44666	90277
331	44813	90167
332	44956	90047
333	45105	89941
334	45243	89811
335	45389	89697
336	45526	89567
337	45667	89443
338	45805	89314
339	45944	89185
340	46083	89058
341	46240	88965
342	46392	88862
343	46544	88759
344	46681	88628
345	46830	88517
346	46986	88421
347	47124	88291
348	47240	88118
349	47382	87995
350	47500	87828
351	47651	87721
352	47782	87578
353	47932	87470
354	48071	87340
355	48213	87218
356	48355	87094
357	48499	86974
358	48627	86825
359	48775	86712
360	48920	86593
361	49074	86489
362	49228	86387
363	49377	86274
364	49534	86176
365	49689	86074
366	49858	85996
367	50017	85899
368	50154	85764
369	50307	85658
370	50460	85552
371	50605	85430
372	50758	85323
373	50893	85185
374	51047	85078
375	51194	84960
376	51355	84865
377	51502	84747
378	51668	84660
379	51822	84551
380	51962	84421
381	52103	84293
382	52246	84167
383	52406	84069
384	52552	83947
385	52711	83847
386	52851	83715
387	53014	83620
388	53149	83481
389	53295	83360
390	53453	83256
391	53605	83143
392	53762	83038
393	53913	82922
394	54073	82821
395	54219	82698
396	54364	82574
397	54504	82440
398	54657	82329
399	54812	82218
400	54982	82131
401	55133	82015
402	55285	81898
